Rank,Channel Name,Subscribers,Total Views,Total Videos,Category,Channel Type,Views Rank,Views Last 30 Days,Min Monthly Earnings,Max Monthly Earnings,Min Yearly Earnings,Max Yearly Earnings,Year,Month,Day,Month no.,Created Date
453,Smile Family Spanish,18600000,7008250496,457,Other,Entertainment,830,43396000,10800,173600,130200,2100000,2019,Jun,19,6,19-Jun-19
466,Naisa Alifia Yuriza (N.A.Y),18300000,1606834186,786,People & Blogs,Entertainment,6502,17063000,4300,68300,51200,819000,2017,Jul,8,7,08-Jul-17
474,Squeezie,18100000,9983065083,1521,Gaming,Entertainment,443,48099000,12000,192400,144300,2300000,2011,Jan,9,1,09-Jan-11
484,Beatboxjcop,18000000,8716982055,748,Film & Animation,Entertainment,539,1375000000,343800,5500000,4100000,66000000,2011,Mar,12,3,12-Mar-11
488,Lele Pons,17900000,5244917119,185,Comedy,Entertainment,1264,18548000,4600,74200,55600,890300,2015,Sep,19,9,19-Sep-15
500,Tanboy Kun,17700000,3647267655,739,People & Blogs,Entertainment,2169,48174000,12000,192700,144500,2300000,2016,Oct,27,10,27-Oct-16
504,Les' Copaque Production,17700000,9059696049,1716,Film & Animation,Entertainment,531,117727000,29400,470900,353200,5700000,2009,Nov,9,11,09-Nov-09
521,Stubborn Facts,17300000,902225615,287,Film & Animation,Entertainment,13315,837850,209,3400,2500,40200,2016,Sep,5,9,05-Sep-16
530,Thebrianmaps,17100000,4448334716,498,Comedy,Entertainment,1624,37164000,9300,148700,111500,1800000,2012,Jun,4,6,04-Jun-12
532,Liza Koshy,17100000,2173106162,142,Comedy,Entertainment,4443,1761000,440,7000,5300,84500,2013,Sep,2,9,02-Sep-13
534,Prajapati News,17000000,1001465469,1407,Comedy,Entertainment,11662,7626000,1900,30500,22900,366100,2013,Mar,14,3,14-Mar-13
538,Guava Juice,16900000,9111000228,1910,Gaming,Entertainment,527,10889000,2700,43600,32700,522600,2006,Jul,18,7,18-Jul-06
542,Danny Fitt,16900000,9544277833,2337,People & Blogs,Entertainment,488,275264000,68800,1100000,825800,13200000,2016,Dec,31,12,31-Dec-16
563,Failarmy,16500000,3037260680,438,Comedy,Entertainment,2766,112986000,28200,451900,339000,5400000,2011,Jul,5,7,05-Jul-11
566,Sandra Cires Art,16400000,3955426159,1091,Howto & Style,Entertainment,1938,18028000,4500,72100,54100,865300,2011,Sep,27,9,27-Sep-11
567,Kaykai Salaider,16400000,4434679706,428,Comedy,Entertainment,1636,9341000,2300,37400,28000,448400,2011,Jan,24,1,24-Jan-11
577,Sam Smith,16300000,10170264839,230,Music,Entertainment,428,85778000,21400,343100,257300,4100000,2012,Sep,14,9,14-Sep-12
581,W2S,16300000,4768370464,652,Gaming,Entertainment,1455,3079000,770,12300,9200,147800,2012,Jul,26,7,26-Jul-12
585,Jj Olatunji,16200000,4076692623,1294,Gaming,Entertainment,1856,27808000,7000,111200,83400,1300000,2011,Jan,26,1,26-Jan-11
594,Vlad And Niki Ara,16100000,7399296005,510,Other,Entertainment,759,32011000,8000,128000,96000,1500000,2019,May,24,5,24-May-19
595,Canal In,16100000,2687443643,723,People & Blogs,Entertainment,3338,13802000,3500,55200,41400,662500,2017,Jul,21,7,21-Jul-17
598,Fitdance,16100000,7126210721,41,Music,Entertainment,4006012,780,0.2,3,2,37,2006,Nov,20,11,20-Nov-06
618,Volga Video,15700000,9787697838,16874,Film & Animation,Entertainment,463,51315000,12800,205300,153900,2500000,2012,Mar,23,3,23-Mar-12
640,Ffuntv,15400000,11513738907,379,Gaming,Entertainment,349,80172000,20000,320700,240500,3800000,2018,Jul,18,7,18-Jul-18
663,Daftar Populer,15100000,2143140898,3810,Education,Entertainment,4520,17231000,4300,68900,51700,827100,2017,Jan,16,1,16-Jan-17
665,Ranz Kyle,15100000,1760131384,533,People & Blogs,Entertainment,5849,12376000,3100,49500,37100,594000,2008,Apr,27,4,27-Apr-08
667,Mariale,15100000,2761547758,2618,Howto & Style,Entertainment,3241,11956000,3000,47800,35900,573900,2010,Jan,6,1,06-Jan-10
668,Makiman131,15100000,4236036141,2997,Gaming,Entertainment,1760,5972000,1500,23900,17900,286600,2013,Feb,12,2,12-Feb-13
704,Fueled By Ramen,14800000,13356517783,1210,Music,Entertainment,276,61205000,15300,244800,183600,2900000,2006,Jun,9,6,09-Jun-06
720,Chad Wild Clay,14700000,6751985988,698,Comedy,Entertainment,885,36338000,9100,145400,109000,1700000,2006,Mar,26,3,26-Mar-06
725,Camila Loures,14700000,4684983333,3978,Music,Entertainment,1501,40975000,10200,163900,122900,2000000,2014,May,27,5,27-May-14
728,Jesser,14600000,3603556207,1244,Gaming,Entertainment,2223,92594000,23100,370400,277800,4400000,2012,Jul,9,7,09-Jul-12
730,Prestonplayz,14600000,5766647017,4009,Gaming,Entertainment,621,151697000,37900,606800,455100,7300000,2012,Jul,4,7,04-Jul-12
759,Rclbeauty101,14400000,3900312631,463,Comedy,Entertainment,1986,8636000,2200,34500,25900,414500,2010,Dec,14,12,14-Dec-10
764,Vlad And Niki Prt,14400000,6543282459,516,Other,Entertainment,918,40089000,10000,160400,120300,1900000,2018,Nov,3,11,03-Nov-18
769,Super Polina,14300000,4776507159,576,People & Blogs,Entertainment,1452,413774,103,1700,1200,19900,2014,Jul,8,7,08-Jul-14
772,Invento Na Hora,14200000,4040297006,1281,Film & Animation,Entertainment,1877,19029000,4800,76100,57100,913400,2014,Oct,18,10,18-Oct-14
